Date,Interval Start,Interval End,Active(I),Active(E),Reactive(I)-Active(I),Reactive(E)-Active(I),Reactive(E)-Active(E),Reactive(I)-Active(E),Apparent-Active(I) - type 2,Apparent-Active(E) - type 6,Average Voltage,Frequency,Calculated Avg Imp Power Factor (signed),Calculated Avg Exp Power Factor (signed)
03-01-2022,12:30,12:45,0,91687.5,0,0,0,19093.75,0,93656.25,420040,49.88,1,-0.979
03-01-2022,12:45,13:00,0,90781.25,0,0,0,20562.5,0,93093.75,420840,49.97,1,-0.975
03-01-2022,13:00,13:15,0,91437.5,0,0,0,21781.25,0,94000,421460,49.97,1,-0.973
03-01-2022,13:15,13:30,0,92218.75,0,0,0,21750,0,94781.25,421580,49.99,1,-0.973
03-01-2022,13:30,13:45,0,92656.25,0,0,0,21250,0,95062.5,421280,49.97,1,-0.975
03-01-2022,13:45,14:00,0,94375,0,0,0,20218.75,0,96500,420840,49.99,1,-0.978
03-01-2022,14:00,14:15,0,94156.25,0,0,0,20500,0,96375,420880,49.97,1,-0.977
03-01-2022,14:15,14:30,0,96656.25,0,0,0,18625,0,98406.25,420120,49.96,1,-0.982
03-01-2022,14:30,14:45,0,96968.75,0,0,0,18656.25,0,98750,420020,49.96,1,-0.982
03-01-2022,14:45,15:00,0,98625,0,0,0,17375,0,100156.25,419400,49.88,1,-0.985
03-01-2022,15:00,15:15,0,101250,0,0,0,17187.5,0,102718.75,419500,49.9,1,-0.986
03-01-2022,15:15,15:30,0,99468.75,0,0,0,18031.25,0,101093.75,419740,49.86,1,-0.984
03-01-2022,15:30,15:45,0,98750,0,0,0,18875,0,100531.25,420160,49.97,1,-0.982
03-01-2022,15:45,16:00,0,99562.5,0,0,0,19031.25,0,101343.75,420100,49.95,1,-0.982
03-01-2022,16:00,16:15,0,96218.75,0,0,0,21656.25,0,98656.25,421320,49.95,1,-0.975
03-01-2022,16:15,16:30,0,96843.75,0,0,0,21468.75,0,99156.25,421060,49.9,1,-0.977
03-01-2022,16:30,16:45,0,97843.75,0,0,0,21468.75,0,100218.75,421160,49.98,1,-0.976
03-01-2022,16:45,17:00,0,96375,0,0,0,21812.5,0,98781.25,421020,49.93,1,-0.976
03-01-2022,17:00,17:15,0,89281.25,0,0,0,24750,0,92656.25,422400,49.97,1,-0.964
03-01-2022,17:15,17:30,0,88875,0,0,0,25343.75,0,92437.5,422680,49.94,1,-0.961
03-01-2022,17:30,17:45,0,87968.75,0,0,0,25968.75,0,91687.5,422880,49.94,1,-0.959
03-01-2022,17:45,18:00,0,86968.75,0,0,0,26031.25,0,90812.5,422720,49.83,1,-0.958
03-01-2022,18:00,18:15,0,85750,0,0,0,27281.25,0,90000,423440,49.96,1,-0.953
03-01-2022,18:15,18:30,0,85906.25,0,0,0,26343.75,0,89843.75,423020,49.85,1,-0.956
03-01-2022,18:30,18:45,0,86343.75,0,0,0,24718.75,0,89812.5,422520,49.87,1,-0.961
03-01-2022,18:45,19:00,0,87406.25,0,0,0,24750,0,90843.75,422600,49.94,1,-0.962
03-01-2022,19:00,19:15,0,85437.5,0,0,0,26093.75,0,89312.5,423280,49.93,1,-0.957
03-01-2022,19:15,19:30,0,84218.75,0,0,0,26500,0,88343.75,423360,49.86,1,-0.953
03-01-2022,19:30,19:45,0,82031.25,0,0,0,27750,0,86562.5,424040,50,1,-0.948
03-01-2022,19:45,20:00,0,80250,0,0,0,28750,0,85250,424740,50.05,1,-0.941
03-01-2022,20:00,20:15,0,79593.75,0,0,0,29312.5,0,84843.75,425060,50.03,1,-0.938
03-01-2022,20:15,20:30,0,79406.25,0,0,0,29156.25,0,84562.5,425080,50.02,1,-0.939
03-01-2022,20:30,20:45,0,82500,0,0,0,28000,0,87156.25,425920,50,1,-0.947
03-01-2022,20:45,21:00,0,83593.75,0,0,0,28000,0,88156.25,426420,50.01,1,-0.948
03-01-2022,21:00,21:15,0,83312.5,0,0,0,28468.75,0,88031.25,426780,50,1,-0.946
03-01-2022,21:15,21:30,0,80750,0,0,0,28906.25,0,85781.25,427160,49.97,1,-0.941
03-01-2022,21:30,21:45,0,77093.75,0,0,0,29875,0,82687.5,427760,49.98,1,-0.932
03-01-2022,21:45,22:00,0,76000,0,0,0,29968.75,0,81687.5,427820,50,1,-0.93
03-01-2022,22:00,22:15,0,78625,0,0,0,29156.25,0,83843.75,427240,49.96,1,-0.938
03-01-2022,22:15,22:30,0,79250,0,0,0,28718.75,0,84312.5,427240,50.03,1,-0.94
03-01-2022,22:30,22:45,0,77875,0,0,0,28718.75,0,83000,427280,50.02,1,-0.938
03-01-2022,22:45,23:00,0,77593.75,0,0,0,29312.5,0,82968.75,426480,50.02,1,-0.935
03-01-2022,23:00,23:15,0,76312.5,0,0,0,29687.5,0,81843.75,426060,49.99,1,-0.932
